IM,DCR,P,Upper,Lower
2.1399999999999997,1.4755996040983297,0.9149131157897005,0.991145467848016,0.6449216604237601
2.15,1.482312523899329,0.9173778386803852,0.9915217081506242,0.6508616497858528
2.1599999999999997,1.489024619665144,0.9197773739811377,0.9918821961735182,0.6567376005250467
2.17,1.4957358953112323,0.9221131444078652,0.9922275723927101,0.6625490236173118
2.1799999999999997,1.5024463547164895,0.9243865564527448,0.9925584526190014,0.6682954788859464
2.19,1.5091560017237577,0.9265989997547186,0.9928754288525818,0.673976573839276
2.1999999999999997,1.5158648401403223,0.9287518465268457,0.9931790701146174,0.6795919624960276
2.21,1.5225728737384032,0.9308464510380469,0.9934699232559658,0.6851413442007527
2.2199999999999998,1.5292801062556323,0.9328841491468218,0.9937485137431945,0.6906244624315436
2.23,1.5359865413955283,0.9348662578845812,0.9940153464221188,0.6960411036022136
2.2399999999999998,1.5426921828279552,0.9367940750862823,0.9942709062591124,0.7013910958609761
2.25,1.5493970341895829,0.9386688790661217,0.9945156590604731,0.7066743078875947
2.26,1.5561010990843271,0.94049192833609,0.9947500521701521,0.7118906476908354
2.27,1.562804381083794,0.9422644613652589,0.9949745151461832,0.7170400614079983
2.28,1.569506883727705,0.9439876963777275,0.9951894604161661,0.7221225321081692
2.29,1.5762086105243267,0.9456628311872183,0.9953952839121785,0.7271380786007772
2.3,1.5829095649508795,0.9472910430663687,0.9955923656855056,0.732086754250914
2.31,1.5896097504539524,0.9488734886488371,0.9957810705015901,0.7369686458028213
2.32,1.596309170449899,0.950411303862389,0.9959617484156168,0.7417838722128298
2.3299999999999996,1.6030078283252367,0.9519056038912026,0.9961347353291533,0.746532583492977
2.34,1.60970572743703,0.9533574831656862,0.9963003535282786,0.7512149595664279
2.3499999999999996,1.6164028711132739,0.9547680153781654,0.9964589122036324,0.7558312091357613
2.36,1.623099262653268,0.9561382535228528,0.9966107079528256,0.760381568565093
2.3699999999999997,1.6297949053279837,0.9574692299585762,0.9967560252656529,0.7648663007769372
2.38,1.636489802380426,0.9587619564927985,0.9968951369925483,0.7692856941646427
2.3899999999999997,1.6431839570259898,0.9600174244855172,0.997028304796728,0.7736400615211578
